,start_date,venue,innings,batting_team,bowling_team,total_runs
0,2008-04-18,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,222
1,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,82
2,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,240
3,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,207
4,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,129
5,2008-04-19,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,132
6,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,165
7,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,166
8,2008-04-20,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,110
9,2008-04-20,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,112
10,2008-04-21,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,162
11,2008-04-21,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,168
12,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,140
13,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,143
14,2008-04-23,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,208
15,2008-04-23,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,201
16,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,214
17,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,217
18,2008-04-25,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,182
19,2008-04-25,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,116
20,2008-04-26,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,134
21,2008-04-26,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,138
22,2008-04-26,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,145
23,2008-04-26,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,152
24,2008-04-27,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,154
25,2008-04-27,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,155
26,2008-04-27,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,158
27,2008-04-27,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,162
28,2008-04-28,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,178
29,2008-04-28,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,165
30,2008-04-29,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,136
31,2008-04-29,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,138
32,2008-04-30,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,191
33,2008-04-30,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,181
34,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,164
35,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,167
36,2008-05-01,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,195
37,2008-05-01,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,151
38,2008-05-02,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,169
39,2008-05-02,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,172
40,2008-05-25,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,165
41,2008-05-25,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,171
42,2008-05-03,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,178
43,2008-05-03,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,169
44,2008-05-04,Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,162
45,2008-05-04,Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,133
46,2008-05-04,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,109
47,2008-05-04,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,110
48,2008-05-05,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,126
49,2008-05-05,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,127
50,2008-05-06,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,144
51,2008-05-06,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,148
52,2008-05-07,Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,103
53,2008-05-07,Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,104
54,2008-05-08,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,187
55,2008-05-08,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,187
56,2008-05-08,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,129
57,2008-05-08,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,124
58,2008-05-09,Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,139
59,2008-05-09,Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,141
60,2008-05-28,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,122
61,2008-05-28,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,126
62,2008-05-10,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,181
63,2008-05-10,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,163
64,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,204
65,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,181
66,2008-05-11,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,156
67,2008-05-11,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,159
68,2008-05-12,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,139
69,2008-05-12,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,144
70,2008-05-13,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,133
71,2008-05-13,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,110
72,2008-05-14,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,151
73,2008-05-14,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,158
74,2008-05-28,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,221
75,2008-05-28,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,180
76,2008-05-15,Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,194
77,2008-05-15,Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,182
78,2008-05-16,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,67
79,2008-05-16,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,68
80,2008-05-17,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,118
81,2008-05-17,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,94
82,2008-05-17,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,197
83,2008-05-17,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,132
84,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,178
85,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,153
86,2008-05-18,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,149
87,2008-05-18,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,55
88,2008-05-19,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,154
89,2008-05-19,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,158
90,2008-05-20,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,147
91,2008-05-20,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,150
92,2008-05-21,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,185
93,2008-05-21,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,188
94,2008-05-21,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,126
95,2008-05-21,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,112
96,2008-05-23,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,175
97,2008-05-23,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,178
98,2008-05-24,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,176
99,2008-05-24,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,179
100,2008-05-24,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,211
101,2008-05-24,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,201
102,2008-05-03,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,156
103,2008-05-03,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,153
104,2008-05-25,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,174
105,2008-05-25,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,175
106,2008-05-26,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,141
107,2008-05-26,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,144
108,2008-05-27,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,147
109,2008-05-27,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,148
110,2008-05-30,Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,192
111,2008-05-30,Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,87
112,2008-05-31,Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,112
113,2008-05-31,Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,116
114,2008-06-01,Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,163
115,2008-06-01,Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,163
116,2009-04-18,Newlands,1,Mumbai Indians,Chennai Super Kings,165
117,2009-04-18,Newlands,2,Chennai Super Kings,Mumbai Indians,145
118,2009-04-18,Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,129
119,2009-04-18,Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,58
120,2009-04-19,Newlands,1,Kings XI Punjab,Delhi Daredevils,104
121,2009-04-19,Newlands,2,Delhi Daredevils,Kings XI Punjab,58
122,2009-04-19,Newlands,1,Kolkata Knight Riders,Deccan Chargers,101
123,2009-04-19,Newlands,2,Deccan Chargers,Kolkata Knight Riders,104
124,2009-04-20,St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,179
125,2009-04-20,St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,87
126,2009-04-21,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,157
127,2009-04-21,Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,79
128,2009-04-22,Newlands,1,Deccan Chargers,Royal Challengers Bangalore,184
129,2009-04-22,Newlands,2,Royal Challengers Bangalore,Deccan Chargers,160
130,2009-04-23,Kingsmead,1,Delhi Daredevils,Chennai Super Kings,189
131,2009-04-23,Kingsmead,2,Chennai Super Kings,Delhi Daredevils,180
132,2009-04-23,Newlands,1,Rajasthan Royals,Kolkata Knight Riders,150
133,2009-04-23,Newlands,2,Kolkata Knight Riders,Rajasthan Royals,149
134,2009-04-24,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,168
135,2009-04-24,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,173
136,2009-04-25,Kingsmead,1,Deccan Chargers,Mumbai Indians,168
137,2009-04-25,Kingsmead,2,Mumbai Indians,Deccan Chargers,156
138,2009-04-26,St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,148
139,2009-04-26,St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,150
140,2009-04-26,Newlands,1,Kings XI Punjab,Rajasthan Royals,137
141,2009-04-26,Newlands,2,Rajasthan Royals,Kings XI Punjab,112
142,2009-04-27,Kingsmead,1,Chennai Super Kings,Deccan Chargers,165
143,2009-04-27,Kingsmead,2,Deccan Chargers,Chennai Super Kings,169
144,2009-04-27,St George's Park,1,Mumbai Indians,Kolkata Knight Riders,187
145,2009-04-27,St George's Park,2,Kolkata Knight Riders,Mumbai Indians,95
146,2009-04-28,SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,143
147,2009-04-28,SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,147
148,2009-04-29,Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,139
149,2009-04-29,Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,143
150,2009-04-29,Kingsmead,1,Kings XI Punjab,Mumbai Indians,119
151,2009-04-29,Kingsmead,2,Mumbai Indians,Kings XI Punjab,115
152,2009-04-30,SuperSport Park,1,Deccan Chargers,Delhi Daredevils,148
153,2009-04-30,SuperSport Park,2,Delhi Daredevils,Deccan Chargers,150
154,2009-04-30,SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,164
155,2009-04-30,SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,126
156,2009-05-01,Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,148
157,2009-05-01,Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,139
158,2009-05-01,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,143
159,2009-05-01,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,137
160,2009-05-02,St George's Park,1,Deccan Chargers,Rajasthan Royals,141
161,2009-05-02,St George's Park,2,Rajasthan Royals,Deccan Chargers,142
162,2009-05-02,New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,163
163,2009-05-02,New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,145
164,2009-05-03,St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,153
165,2009-05-03,St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,154
166,2009-05-03,New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,148
167,2009-05-03,New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,150
168,2009-05-04,Buffalo Park,1,Chennai Super Kings,Deccan Chargers,176
169,2009-05-04,Buffalo Park,2,Deccan Chargers,Chennai Super Kings,100
170,2009-05-05,Kingsmead,1,Rajasthan Royals,Kings XI Punjab,211
171,2009-05-05,Kingsmead,2,Kings XI Punjab,Rajasthan Royals,133
172,2009-05-05,Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,154
173,2009-05-05,Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,157
174,2009-05-06,SuperSport Park,1,Deccan Chargers,Mumbai Indians,145
175,2009-05-06,SuperSport Park,2,Mumbai Indians,Deccan Chargers,126
176,2009-05-07,SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,105
177,2009-05-07,SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,107
178,2009-05-07,SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,185
179,2009-05-07,SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,174
180,2009-05-08,Buffalo Park,1,Mumbai Indians,Delhi Daredevils,116
181,2009-05-08,Buffalo Park,2,Delhi Daredevils,Mumbai Indians,118
182,2009-05-09,De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,167
183,2009-05-09,De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,169
184,2009-05-09,De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,139
185,2009-05-09,De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,141
186,2009-05-10,St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,155
187,2009-05-10,St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,140
188,2009-05-10,New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,123
189,2009-05-10,New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,125
190,2009-05-11,De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,166
191,2009-05-11,De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,113
192,2009-05-12,SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,166
193,2009-05-12,SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,176
194,2009-05-12,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,119
195,2009-05-12,SuperSport Park,2,Mumbai Indians,Kings XI Punjab,122
196,2009-05-13,Kingsmead,1,Delhi Daredevils,Deccan Chargers,167
197,2009-05-13,Kingsmead,2,Deccan Chargers,Delhi Daredevils,161
198,2009-05-14,Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,129
199,2009-05-14,Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,132
